empresa,pais,ventas,beneficios,activos,valor de mercado
IDEXX Laboratories,United States,2707.0,581.8,2295.0,45812.0
Constellation Brands,United States,8614.0,1998.0,27105.0,45761.0
Neste,Finland,13396.0,812.8,12009.0,45688.0
Qatar National Bank,Qatar,13115.0,2950.9,286316.0,45374.0
Lonza Group,Switzerland,4803.0,925.8,16545.0,45138.0
DocuSign,United States,1453.0,-243.3,2337.0,45123.0
Exelon,United States,33431.0,1964.0,129317.0,45087.0
Johnson Controls International,Ireland,22082.0,923.0,41424.0,45010.0
Barclays,United Kingdom,27912.0,1956.9,1844718.0,44859.0
Canadian Imperial Bank,Canada,17572.0,3141.7,612868.0,44720.0
Kone,Finland,11330.0,1070.8,10757.0,44638.0
International Holding Company,United Arab Emirates,1918.0,781.1,3815.0,44629.0
Sun Hung Kai Properties,Hong Kong,11719.0,2795.3,100529.0,44493.0
Roper Technologies,United States,5527.0,949.7,24025.0,44420.0
EDF ,France,78694.0,741.0,374273.0,44418.0
S.F. Holding,China,22255.0,1061.4,16997.0,44396.0
Eni,Italy,50144.0,-9761.6,137900.0,44295.0
National Grid,United Kingdom,18840.0,1865.4,85034.0,44258.0
eBay,United States,10697.0,5667.0,19310.0,44181.0
TE Connectivity,Switzerland,12526.0,114.0,20266.0,44138.0
American Electric,United States,14908.0,2200.1,84017.0,43979.0
Baxter International,United States,11673.0,1102.0,20019.0,43780.0
Beijing-Shanghai High-Speed Railway,China,3572.0,608.8,45154.0,43740.0
Munich Re,Germany,73867.0,1380.5,368749.0,43452.0
L3Harris Technologies,United States,18194.0,1119.0,36960.0,43317.0
Chipotle Mexican Grill,United States,5985.0,355.8,6886.0,43261.0
First Abu Dhabi Bank,United Arab Emirates,7384.0,2757.6,250210.0,43250.0
Chongqing Zhifei Biological Products,China,2194.0,478.2,2327.0,43046.0
Cognizant,United States,16652.0,1392.0,16923.0,42778.0
Microchip Technology,United States,5298.0,333.3,16576.0,42621.0
HP,United States,57663.0,3234.0,34737.0,42561.0
Lloyds Banking Group,United Kingdom,43436.0,1109.2,1190981.0,42540.0
China Shenhua Energy,China,33890.0,5154.2,86074.0,42403.0
Lululemon Athletica,Canada,4402.0,588.9,4185.0,42252.0
China Vanke,China,62581.0,6094.6,285825.0,42240.0
BCE,Canada,17090.0,1806.5,47618.0,42058.0
Nordea Bank,Finland,12658.0,2534.2,676136.0,42046.0
TAQA,United Arab Emirates,7749.0,98.8,50890.0,41935.0
Manulife,Canada,57212.0,4377.1,655034.0,41905.0
Haier Smart Home,China,30330.0,1291.7,31111.0,41845.0
Macquarie Group,Australia,9769.0,1479.9,165379.0,41834.0
Sempra Energy,United States,11351.0,3943.0,66623.0,41800.0
Roblox,United States,924.0,-253.3,1848.0,41758.0
Sika,Switzerland,8393.0,878.4,11410.0,41758.0
Mitsubishi,Japan,116708.0,3102.0,179691.0,41600.0
Samsung SDI,South Korea,9573.0,487.1,19823.0,41573.0
Veeva Systems,United States,1465.0,380.0,3046.0,41568.0
Parker-Hannifin,United States,13505.0,1431.7,19827.0,41449.0
IHS Markit,United Kingdom,4327.0,535.0,16670.0,41423.0
IQVIA,United States,11358.0,279.0,24564.0,41337.0
Woolworths,Australia,46201.0,972.8,30468.0,41181.0
DuPont de Nemours,United States,20397.0,-2951.0,70904.0,41169.0
EOG Resources,United States,9934.0,-604.6,35805.0,41153.0
Sany Heavy Industry,China,14386.0,2217.1,19306.0,41152.0
Sysco,United States,45902.0,-337.5,22490.0,41119.0
Cadence Design,United States,2683.0,590.6,3951.0,41096.0
Amphenol,United States,8599.0,1203.4,12327.0,41044.0
Digital Realty Trust,United States,3907.0,356.4,36076.0,41032.0
Agilent Technologies,United States,5530.0,810.0,9674.0,41006.0
Credit Agricole,France,43523.0,2643.6,2399458.0,41003.0
Trane Technologies,Ireland,12455.0,854.9,18157.0,41000.0
Palantir Technologies,United States,1093.0,-1166.4,2691.0,40946.0
